date,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19,location20,location21,location22,location23,location24
5/5/2000,0.08,0.15,0.53,0.03,0.07,0.16,0.22,0.14,0.22,0.5,0.05,0.09,0.03,0.22,0.16,0.16,0.14,0.1,0.04,0.3,0.19,0.23,0.15,0.14
5/6/2000,0.07,0.12,1.84,1.08,0.03,0.03,0.31,0.21,1.26,1.78,0.35,1.09,0.01,0.29,0.56,1.62,0.02,0.18,0.65,1.22,0.64,0.12,0.07,0.53
5/7/2000,0,0,0.98,0.02,0,0,0.02,0.03,0.22,0.44,0,0.06,0,0.01,0.02,0.11,0,0,0.01,0.51,0.06,0,0,0.13
5/8/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/2000,0.05,0.1,1.72,2.7,0.05,0.11,0.21,0.14,1.46,2.33,0.79,1.67,0.02,0.33,0.6,2.69,0.23,0.5,1.72,1.08,0.47,0.19,0.34,0.34
5/14/2000,0.02,0.02,0.44,0.01,0,0,0.08,0.09,0.31,0.29,0.04,0.12,0,0.06,0.12,0.09,0.01,0.03,0.02,0.44,0.21,0.02,0.02,0.26
5/15/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2000,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
5/17/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2000,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
5/19/2000,0.22,0.31,0.68,0.69,0.1,0.1,0.69,0.48,1.09,0.87,1.11,1.1,0.08,0.75,1.21,0.82,0.13,0.76,0.96,0.8,1.16,0.34,0.37,0.83
5/20/2000,0,0,0,0.07,0,0,0,0,0,0,0.02,0.01,0,0,0,0.02,0,0,0.04,0,0,0,0,0
5/21/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/22/2000,0.01,0.07,0,0,0.12,0.6,0.02,0,0,0,0.1,0.01,0.02,0.15,0.03,0,2.29,0.57,0.03,0,0.01,0.38,1.44,0
